id,label,class
0,HXACAN,orthorhombic polymorph II
1,HXACAN01,monoclinic polymorph I
2,HXACAN04,monoclinic polymorph I
3,HXACAN06,monoclinic polymorph I
4,HXACAN07,monoclinic polymorph I
5,HXACAN08,orthorhombic polymorph II
6,HXACAN09,monoclinic polymorph I
7,HXACAN10,monoclinic polymorph I
8,HXACAN11,monoclinic polymorph I
9,HXACAN12,monoclinic polymorph I
10,HXACAN13,monoclinic polymorph I
11,HXACAN14,monoclinic polymorph I
12,HXACAN15,monoclinic polymorph I
13,HXACAN16,monoclinic polymorph I
14,HXACAN17,monoclinic polymorph I
15,HXACAN18,monoclinic polymorph I
16,HXACAN19,monoclinic polymorph I
17,HXACAN21,orthorhombic polymorph II
18,HXACAN22,orthorhombic polymorph II
19,HXACAN23,orthorhombic polymorph II
20,HXACAN24,orthorhombic polymorph II
21,HXACAN25,orthorhombic polymorph II
22,HXACAN26,monoclinic polymorph I
23,HXACAN27,monoclinic polymorph I
24,HXACAN28,monoclinic polymorph I
25,HXACAN29,polymorph III
26,HXACAN30,monoclinic polymorph I
27,HXACAN31,orthorhombic polymorph II
28,HXACAN32,orthorhombic polymorph II
29,HXACAN33,orthorhombic polymorph II
30,HXACAN34,monoclinic polymorph I
31,HXACAN35,monoclinic polymorph I
32,HXACAN36,monoclinic polymorph I
33,HXACAN37,orthorhombic polymorph II
34,HXACAN38,orthorhombic polymorph II
35,HXACAN39,form III-m polymorph
36,HXACAN40,form III-o polymorph
37,HXACAN41,orthorhombic polymorph II
38,HXACAN42,orthorhombic polymorph II
39,HXACAN43,monoclinic polymorph I
40,HXACAN44,orthorhombic polymorph II
41,HXACAN45,orthorhombic polymorph II
42,HXACAN46,orthorhombic polymorph II
43,HXACAN47,None
44,HXACAN48,None
45,HXACAN49,monoclinic polymorph I
46,HXACAN50,None
47,HXACAN51,monoclinic polymorph I
48,HXACAN52,monoclinic polymorph I
49,HXACAN53,monoclinic polymorph I
50,HXACAN54,monoclinic polymorph I
51,HXACAN57,monoclinic polymorph I
52,ACSALA,polymorph I
53,ACSALA01,polymorph I
54,ACSALA02,polymorph I
55,ACSALA03,polymorph I
56,ACSALA04,polymorph I
57,ACSALA05,polymorph I
58,ACSALA06,polymorph I
59,ACSALA07,polymorph I
60,ACSALA08,polymorph I
61,ACSALA09,polymorph I
62,ACSALA10,polymorph I
63,ACSALA11,polymorph I
64,ACSALA12,polymorph I
65,ACSALA13,polymorph II
66,ACSALA14,polymorph I
67,ACSALA15,polymorph II
68,ACSALA17,polymorph II
69,ACSALA19,II polymorph
70,ACSALA20,II polymorph
71,ACSALA21,polymorph I
72,ACSALA23,None
73,ACSALA24,None
74,ACSALA25,polymorph I
75,ACSALA26,None
76,ACSALA27,None
77,ACSALA28,polymorph I
78,ACSALA29,polymorph I
